17784 28495 26
8925 12664 45
7769 20478 30
12166 13358 18
9612 18678 28
9136 25062 30
7769 8215 30
4724 12187 10
13867 18281 28
11178 20245 37
12743 24236 25
26691 30250 30
1532 18677 21
21512 31194 36
7050 21402 26
15271 31019 17
10582 14952 35
16857 20063 14
19147 20478 36
12662 22654 36
17784 31763 36
4445 28495 41
8756 31565 45
14375 24219 37
543 23927 34
15495 28847 32
422 5814 18
30378 30613 45
1828 29901 19
4445 16519 45
4332 6314 28
7050 11329 43
3598 16519 37
21053 29295 28
9445 28780 33
15473 25995 24
61 1532 29
11361 15535 26
6667 13227 27
1532 22718 16
4875 30250 31
2105 4556 40
4786 25609 34
8848 20995 31
24684 30579 31
5991 21381 8
12983 15714 26
21256 24569 28
11768 17130 17
7496 13358 24
17238 31850 24
26248 30562 16
14952 29773 51
8756 11818 32
5998 23878 33
2287 30638 15
319 4267 22
3969 24219 12
5814 15535 24
8848 9528 46
9401 31886 15
12960 32294 24
19920 23878 37
20174 31801 30
1456 17708 14
9445 22542 16
15004 32294 29
11875 13227 22
7050 13571 16
13227 26042 27
18080 23087 29
1657 29246 19
9612 20082 24
2164 20871 33
2328 14159 21
1456 31806 38
3969 9401 30
12602 21321 26
9136 24569 28
1504 11329 10
14829 23087 23
16117 31019 49
28771 30162 38
4281 19762 23
20332 21256 24
20245 22718 35
806 21123 18
14177 30740 25
1996 30613 25
11361 24569 29
22954 24231 15
6323 15814 23
3164 4267 25
2536 15535 27
4832 15714 21
11818 12861 35
18464 30638 10
2855 15426 35
24236 31154 23
4332 11011 27
14349 20332 21
4445 26409 15
4832 9718 23
5689 17024 23
10258 19762 36
16505 20063 41
14375 25062 25
5514 12960 35
9191 26248 23
61 20292 33
8167 26248 14
15814 17024 19
31272 31565 32
5534 22200 30
4281 30162 31
23878 31019 22
12662 17551 24
8215 30696 32
319 19400 30
8925 17501 54
24219 29901 18
2536 18995 25
7277 22201 26
4472 31801 41
14912 21123 22
15271 22201 33
9401 10193 34
12799 15004 22
23989 31850 25
4472 22808 29
11818 24318 36
9666 12983 28
4444 18230 22
24156 29741 43
22542 31763 70
15145 20871 33
16876 31886 36
21321 25324 35
20245 26576 32
17031 23914 26
13867 30696 29
8848 31763 16
806 25995 28
29785 30805 40
10193 30049 27
1532 28938 20
11768 12120 49
5020 14159 25
8848 23802 29
24519 26691 26
18230 30162 21
5534 21690 18
4332 17451 33
13358 21053 15
12743 26576 31
8514 23710 19
5998 12120 45
11178 15004 36
9136 31886 9
7195 14952 28
12602 27944 27
6963 27611 32
16876 17382 19
6323 17382 29
6963 20308 37
5151 14177 23
4724 31806 13
17551 29082 26
11011 29785 33
5991 29082 26
20249 29741 38
61 31272 50
1504 24684 39
4874 18080 37
2381 19164 28
5020 15814 24
8458 20995 30
3017 18464 21
422 21256 26
4874 27611 31
24231 29082 29
3598 4556 26
14550 15495 30
4281 12407 24
1996 6963 32
20249 30805 43
13059 17238 25
6513 26042 26
8514 25609 21
4332 21512 37
11163 19164 26
3164 8458 24
1456 2287 10
31763 31975 16
9136 9718 22
14207 17031 54
23916 24318 35
12407 13037 24
13804 24519 26
5790 19400 20
10582 31975 36
18281 30740 28
31154 32231 15
4875 30579 46
13685 23710 28
16505 20378 43
2328 31850 17
10258 18353 31
12816 24231 50
21381 22954 18
14207 23802 53
7195 8756 34
4332 28938 28
4875 24156 43
10258 11516 17
5689 27944 23
18398 20174 43
4472 18398 38
4284 15004 22
8925 26248 16
15145 17658 24
4472 31154 27
12816 18541 39
17130 29246 38
11818 31801 22
795 23989 25
2164 18541 35
9666 14159 34
9528 20174 37
5151 13059 27
2105 23914 31
806 1456 56
4556 17784 50
4724 11329 17
1478 6314 28
2855 9191 43
1657 10943 26
2536 14375 8
6667 14829 33
5790 29295 23
17658 19147 28
12743 32231 33
25609 29246 16
16117 19920 22
16117 25324 34
4786 23927 31
20308 22392 32
18995 28847 33
7277 12664 45
5530 11163 26
14912 16857 30
15426 19132 41
15145 20378 40
7277 9191 46
1082 5514 50
1456 5991 25
12187 17708 12
11875 12664 32
13227 23878 24
20082 24236 13
3017 18464 21
15473 18281 20
12861 18678 22
10258 18349 31
7050 17551 32
11516 30378 54
795 3200 21
13804 18349 27
9612 12743 9
2381 29901 25
1828 7277 32
13685 18353 24
543 21402 29
9798 11163 28
16857 24231 27
12166 22808 31
7496 21690 30
3690 10943 23
1082 6064 29
1996 29246 20
3598 28495 47
17451 28771 38
11768 20871 26
20292 23916 26
1082 26952 35
3690 22654 26
3164 18398 21
5530 21321 25
14550 19132 44
3164 8458 24
9062 22200 27
6064 9062 31
9062 31154 28
24338 31194 34
